,name,thematic_area_id,thematic_area,requirements,work_methods,requirements_1,requirements_2,requirements_3,requirements_4
57,¿Cómo podríamos identificar un mercado potencial en el que no se encuentre la organización actualmente?,11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
58,¿Cómo podríamos dar valor agregado a nuestros productos a partir del diseño de nuevos accesorios?,8,design,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
59,mucho blaaaaaaaa,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
60,¿Cómo podríamos implementar modelos de energía renovable que funcione en alguna de las áreas de nuestra organización?,1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
61,DISEÑADORA COMERCIAL conocimientos en COREL y EXCEL,8,design,bases,in_house,experiencia,servicio,arte,capacidad
62,Representante Apoyo Comercial Bogotá,13,product,paquete,in_house,mercado,desarrollo,responsabilidad,consulta
63,Coordinador nacional de ventas,11,market,estrategias,in_house,equipo,comercial,servicios,servicio
64,Líder de gestión ambiental - Barranquilla,13,product,manejo,in_house,sistema,reclutamiento,estrategias,ambiental
65,AUXILIAR ADMINISTRATIVO,16,finance,alimentos,in_house,experiencia,administrativo,auxiliar,auxiliar administrativo
66,"Asesoría comercial, comunicación asertiva, atención al cliente.",19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
67,Business Manager,6,tech,herramientas,"[""a""]",procesos,negocios,manejo,reclutamiento
68,¿Cómo podríamos cautivar a nuevos consumidores con los servicios ofrecidos actualmente?,11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
69,¿Cómo podríamos lograr que nuestros clientes actuales se conviertan en embajadores de nuestra marca?,11,market,lider,to_be_agreed,estrategia,diseño,telecomunicaciones,entrenamiento
70,¿Cómo podríamos dar valor agregado a nuestros productos a partir del diseño de nuevos accesorios?,8,design,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
71,Jefe de Riesgos Financieros,16,finance,equipo,in_house,aprender,riesgos financieros,desarrollar,control
72,diseñador/a industrial o grafico,8,design,capacidad,in_house,creatividad,diseño,desarrollar,industrial
73,Ingeniero Implementador Junior,6,tech,php,in_house,java,javascript,mysql,sql server
74,agente backoffice/ Pqr Escritos / exp mínima 1 año,17,consumer,experiencia,in_house,transporte,perfil de cliente,transporte,idiomas
75,PASANTÍA ACADÉMICA TECNOLOGÍA SURA- OCTUBRE 2023,6,tech,universidad,in_house,telecomunicaciones,infraestructura,sistemas,ninguna
76,AUXILIAR DE VENTAS CAJA MEDELLIN,17,consumer,servicio,in_house,ventas,experiencia,caja,terminal
77,¿Cómo podríamos mejorar un proceso para incrementar nuestra productividad?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
78,¿Cómo podríamos aplicar modelos de analítica para la toma decisiones?,4,strategy,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
79,¿Cómo podríamos crear un modelo predictivo para determinar la vida útil de un producto o servicio?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
80,¿Cómo podríamos disminuir el daño de nuestra mercancía en el proceso de logística (transporte/venta/fabricación)?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
81,¿Cómo podríamos mejorar la satisfacción de nuestros empleados para disminuir la deserción en la organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
82,Analista de Datos Junior,6,tech,trabajar en equipo,in_house,capacidad,trabajo,operaciones,habilidades
83,Analista de capacitación,7,communications,trabajo,"[""a""]",alimentos,empresa,recursos humanos,indicadores
84,¿Cómo podríamos predecir cuándo es necesario un insumo para evitar demoras en el proceso de producción?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
85,Jefe de Ventas Canal TAT Bogotá,11,market,liderazgo,virtual,capacidad,no,estrategias,negocios
86,Fraud Prevention Senior Analyst,16,finance,teams,in_house,world,data,software,work
87,¿Cómo podríamos mejorar la interfaz de la plataforma o la app de la organización para hacer más agradable la experiencia del usuario?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
88,Asesor de chat / Servicio al cliente - Solo Via Chat,17,consumer,experiencia,"[""a""]",jenkins, no funcionales,auxiliar,datos
89,¿Cómo podríamos crear una estrategia de trabajo en convenio con los proveedores para incrementar la eficiencia en nuestro trabajo?,3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
90,Marketing Specialist,7,communications,experiencia,in_house,estrategias,recursos humanos,marketing,recursos
92,Operario de empaque y estibado,13,product,recursos,in_house,empresa,procesos,equipo,trabajo
93,¿Cómo podríamos implementar el trabajo remoto al interior de nuestra organización?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
94,COORDINADOR COMERCIAL,11,market,no,in_house,informes,mercado,desarrollar,trabajo
95,¿Cómo podríamos optimizar la atención de los puntos de venta para mejorar la experiencia del cliente?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
96,Poder colocar un desarrollados a trabajar en UX,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
97,¿Cómo podríamos demostrar nuestras mejores cualidades cómo organización empleadora por medio de nuestras comunidades (redes/blog/página)?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
98,Urgente - Asesor Comercial Bogota con o sin experiencia,19,sales,empresa,"[""a""]",transporte,comercial,servicios,trabajo
99,¿Cómo podríamos implementar modelos de realidad aumentadada en nuestros servicios/productos/procesos para generar valor agregado a nuestra organización?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
101,¿Cómo podríamos usar la inteligencia artificial para mejorar procesos al interior de nuestra organización?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
102,Contador - Bogotá,16,finance,equipo,in_house,recursos,trabajo,recursos humanos,empresa
103,Analista - Recursos Humanos y Nomina,9,talent,seguridad,in_house,recursos,administrador,informes,manejo
104,Tester Junior,8,design,cultura,in_house,ninguna,experiencia,no,servicios
105,Practicante Sistemas Precios y Costos,13,product,software,virtual,manejo,bases,experiencia,capacidad
106,Psicólogo/A Con Licencia En Seguridad Y Salud En El Trabajo,9,talent,profesional,in_house,coaching,informes,servicios,herramientas
107,¿Cómo podríamos implementar un modelo de horario flexible que beneficie tanto a nuestros trabajadores como a la organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
108,Científico de Datos Jr.,6,tech,python,mixed,sql,ciencia de datos,estadística,matemática
109,Practicante Universitario - Diseño Grafico/Mercadeo/Visual,8,design,redes,in_house,redes sociales,desarrollo,presupuestos,inventarios
110,Jefe Gestion Comercial - Medicamentos,13,product,modelos,in_house,especializacion,experiencia,sistema,bienestar
111,Químico Farmacéutico,6,tech,analizar,in_house,auditoria,servicio,calidad,no
112,CUSTOMER SERVICE TELEPHONE INTERPRETER - Advanced English – level C1 or higher - Remote,17,consumer,access,in_house,internet,experiencia,mejoramiento continuo,modelos
113,18981-Técnico de Soporte,6,tech,soporte,in_house,sistemas,servicio,bases de datos,consulta
114,Desarrollador de Sistemas,13,product,trabajo,virtual,conocimiento,experiencia,git,profesional
115,Líder de impresión -Cali,13,product,manejo,in_house,calidad,indicadores,experiencia,planes
116,Analista de Plataforma de Contacto,7,communications,experiencia,in_house,herramientas,plataformas,publicidad,manejo
117,¿Cómo podríamos crear una estrategia para que el consumidor compre los productos complementarios al principal (venta cruzada)?,19,sales,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
118,Agente call center// servicio al cliente.,17,consumer,experiencia,in_house,recursos humanos,servicio,analisis,recursos
119,¿Cómo podríamos conectar los diferentes canales de comunicación con los clientes (omnicanalidad)?,14,channels,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
120,Desarrollador Backend PHP/Laravel,6,tech,php,virtual,laravel,inglés,normatividad,ninguna
122,¿Cómo podríamos desarrollar una campaña de comunicación masiva qué sea efectiva con clientes nuevos y antiguos?,7,communications,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
123,Aprendiz Contabilidad,16,finance,auxiliar,in_house,caja,trabajo en equipo,postgressql,transporte
124,Asistente Administrativo En Sector Salud,17,consumer,auxiliar,in_house,experiencia,bienestar,trabajo en equipo,soporte
126,¿Cómo podríamos crear un movimiento de voluntariado masivo que siga nuestras creencias organizacionales?,1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
127,operarios de producción Envigado,13,product,servicios,in_house,experiencia,empresa,paquete,jenkins
128,Operarios de Plastico y Empaque Funza y/o alrededores,13,product,empresa,in_house,experiencia,analista,comercio,entrenamiento
129,Auxiliar administrativo,17,consumer,administrativo,in_house,manejo,bienestar,trabajo,experiencia
130,Como crear un sistema que permita efectividad en el proceso de operaciones.,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
131,¿Cómo podríamos aumentar la frecuencia de compra de productos/servicios de la organización?,3,suppliers,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
132,Global VP of Talent & Culture | LATAM Regional Head,5,legal,risk,virtual,work,big,data,power
133,Operario de producción sector fármacos o laboratorio,13,product,experiencia,in_house,materiales,no,empresa,transporte
134,¿Cómo podríamos disminuir el gasto de energía en la producción?,2,production,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
135,Administrativo en Facturación,16,finance,ventas,"[""a""]",datos,finanzas,experiencia,coordinar
136,Analista jurídico,5,legal,empresa,in_house,desarrollo,operaciones,transporte,bienestar
137,UX/UI Designer Ssr,8,design,desarrollar,in_house,mejora,empresa,procesos,desarrollo
138,Innovación,8,design,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
139,Consultor Ventas TI,6,tech,recursos,in_house,empresa,servicios,recursos humanos,experiencia
140,Asistente Legal Bilingüe,5,legal,aprender,in_house,experiencia,bases,compromiso,bienestar
141,Analista CRM,13,product,profesional,in_house,responsabilidad,servicio,bases de datos,toma de decisiones
142,¿Cómo podríamos crear conciencia mediante un nuevo sistema de responsabilidad social empresarial (RSE) que genere un impacto positivo?,1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
143,ANALISTA GESTION HUMANA,9,talent,herramientas,in_house,equipo,informes,persona,social
144,Licenciada en pedagogía /preescolar - Experiencia en primera infancia,13,product,experiencia,in_house,desarrollo,relaciones,proyectos,soporte
145,Profesional de Planeación y Presupuesto,16,finance,experiencia,"[""a""]",manejo,conocimiento,control,internet
146,Gestor de mejora - Tecnologos y/o ingenieros industriales,5,legal,trabajo,"[""a""]",transporte,mejora,profesional,manejo
147,Analista de pruebas móviles,6,tech,automatización movil,in_house,appium,katalon,appium studio,java
148,Asistente de Marca,11,market,experiencia,"[""a""]",idiomas,soporte,capacidad,consulta
149,Desarrollador comercial experiencia distribuidoras para trabajar en duitama,11,market,comercial,in_house,experiencia,desarrollo,ventas,modelos
150,Analista de Adquisición de Sitios,5,legal,redes,in_house,comercial,social,responsabilidad,digital
151,Operario (ayudante) de Obra para trabajar en Cota,13,product,empresa,in_house,transporte,equipo,trabajo,experiencia
152,ANALISTA DE MERCADEO - BOGOTÁ,11,market,empresa,in_house,administrador,equipo,trabajo,experiencia
153,Frontend UX,8,design,software,virtual,mantenimiento,control,transporte,negocios
154,Aprendiz en sistemas/soporte técnico - Para firmar contrato de aprendizaje,6,tech,soporte,virtual,mantenimiento,aprendizaje,redes,experiencia
155,Profesional en gestión de datos - negocios digitales,16,finance,visual,in_house,equipo,recursos,macros,experiencia
156,¿Cómo adquirir o mejorar el conocimiento en un campo estratégico para reinventar un producto o servicio?,13,product,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
157,¿Cómo podríamos diseñar un protocolo de servicio al cliente estandarizado en redes?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
158,Líder de Marketing Digital,11,market,google,in_house,no,cadena,plataformas,estrategias
159,meseros,17,consumer,servicio,in_house,profesional,servicio al cliente,desarrollar,capacidad
160,Jefe de Operaciones / Jefe de Restaurantes o plazoletas de comida,7,communications,empresa,in_house,equipo,persona,trabajo,manejo
162,¿Cómo podríamos disminuir de alguna forma el impacto ambiental en nuestra producción ?,1,rse,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
163,Analista de Créditos (Fraudes),16,finance,profesional,in_house,experiencia,herramientas,finanzas,empresa
164,Copia de: ANALISTA DE MONITOREO Y CALIDAD DE APLICACIONES - FERIA DE EMPLEABILIDAD,6,tech,ingeniería de sistemas,to_be_agreed,ingenieria,oracle,empresarial,redes
165,Operarios de Empaque- Cali,13,product,experiencia,in_house,control,desarrollo,procesos,costos
166,Asistente de servicio al Cliente sector industrial,17,consumer,industrial,virtual,trabajo,empresa,profesional,recursos
167,Bachiller con o sin experiencia,13,product,experiencia,in_house,servicio,mysql,webservice,comercio
169,Analista de Experiencia de Servicio,13,product,excel intermedio,mixed,servicio cliente,asertividad,escucha activa,office 365 intermedi
170,Administrador de nube azure,6,tech,azure fundamentals,mixed,azure administrator,azure architect,azure devops enginee,datos
171,Analista Funcional 2,6,tech,sistemas,"[""a""]",sistema,procesos,proyecto,mejora
172,Urgente Agente call center con o sin experiencia respuesta inmediata,5,legal,recursos humanos,virtual,trabajo,recursos,experiencia,equipo
175,Trabajo Desde Casa Pasantes para Recruiting / Ref. 0050S,9,talent,profesional,"[""a""]",proyectos,empresa,calidad,capacidad
176,Especialista de Adquisiciones y Donaciones - USAID/Colombia Sustainable Agriculture Activity,16,finance,control de calidad,virtual,mercados,social,equipo,cinco
177,¿Cómo podríamos generar nuevas estrategias para hacer más eficiente el proceso de carga y descarga de mercancía en los vehículos?,18,logistics,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
178,Estandarización de información en el servicio al consumidor,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
179,Facilitador Jr de canales,7,communications,empresa,in_house,equipo,habilidades,trabajo,indicadores
180,¿Cómo podríamos desarrollar una forma de detectar fallas en datos organizacionales para garantizar fácilmente su calidad?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
181,Ejecutivo de Cuenta,7,communications,equipo,in_house,persona,empresarial,experiencia,comercio
182,Auxiliar de redes sociales con experiencia en PQRS Comunicadores sociales o periodistas - Lugar de trabajo Parque Celta Trade - Vacaciones,7,communications,auxiliar,"[""a""]",trabajo,experiencia,periodismo,manejo
183,"Dllo gráfico ¿Cómo podríamos formar a la base de la construcción(técnicos, mamposteros, constructores) para que estos tengan los conceptos básicos de interpretación y aplicación de  BIM?",8,design,sistema,to_be_agreed,servicio cliente,mejoramiento continuo,habilidades,docente
184,Entrenador Personalizado Bodytech - Armenia,8,design,servicios,in_house,experiencia,entrenamiento,diseño,recursos humanos
185,Auxiliar de facturacion masiva/ disponibilidad inmediata,17,consumer,trabajo,in_house,empresa,facturacion,recursos,alimentos
186,¿Cómo podríamos mejorar la comunicación con nuestros empleados para brindarles un buen ambiente laboral?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
187,"operarios de produccion convocatoria lunes 06 de febrero 2023 - Vivir en chía, Zipaquira o zonas aledañas",13,product,recursos,"[""a""]",empresa,servicio,produccion,experiencia
188,¿Cómo podríamos implementar un servicio de vehículo compartido (carpooling) para los miembros de nuestra organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
190,Gran Oportunidad! Buscamos Asesores de Servicio al Cliente/BO/Chat 6 meses de experiencia,17,consumer,servicios,in_house,experiencia,equipo,paquete,jenkins
191,Commercial Excellence Leader - Cala and Mexico,6,tech,cultura,in_house,experiencia,ventas,procesos,analizar
192,¿Cómo podríamos hacer un proceso de selección de los mejores talentos para incluirlos en nuestra organización?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
194,Asesor de servicio al cliente Zona norte,17,consumer,trabajo,virtual,servicio al cliente,cadena,experiencia,servicio
196,¿Cómo podríamos calcular los indicadores de productividad para mejorarlos mediante la visualización de estos?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
197,OPERADOR MULTIFUNCIONAL SANTA MARTA,17,consumer,mercadeo,in_house,servicio,cadena de suministro,calidad,terminal
198,Lider de Mejora Continua y Calidad,13,product,experiencia,in_house,herramientas,mejora,sistemas,servicios
199,coordinador/a - Gestión Humana,9,talent,bienestar,in_house,manejo,conocimiento,salud,procesos
200,¿Cómo podríamos mejorar la comunicación con nuestros empleados para brindarles un buen ambiente laboral?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
201,operario/a de Confeccion -6 meses de experiencia,13,product,experiencia,in_house,servicios,empresa,transporte,productividad
202,Coordinador de recursos humanos,9,talent,sistemas,in_house,liderazgo,recursos humanos,recursos,seguridad
203,Gestor Comercial Y Mercadeo,8,design,.,in_house,comercial,relaciones,comercio,equipo
204,¿Cómo podríamos crear nuevos productos para usar al 100% la capacidad de nuestra planta y sus instalaciones?,13,product,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
205,auxiliar general de credito,17,consumer,datos,in_house,financiera,recursos humanos,riesgos,persona
206,¿Cómo podríamos predecir de forma oportuna las fallas en productos/servicios para realizar su respectivo mantenimiento?,15,quality,internet,to_be_agreed,jenkins,aws vpc,webservice,idiomas
207,202310 - ASESOR/A EMPRESARIO/A,6,tech,comercial,in_house,proyecto,mercado,creatividad,bienestar
208,Growth Hacking,6,tech,análisis cualitativo,mixed,análisis cuantitativ,aprender,datos,toma de decisiones
210,Consultor Visualización,13,product,servicios,in_house,aprender,conocimiento,experiencia,no
211,¿Cómo podríamos generar un modelo de micro financiación (crowfounding) para desarrollar nuevos proyectos en nuestra organización?,4,strategy,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
212,Auxiliar administrativo de despacho,17,consumer,administrativo,in_house,auxiliar,power,experiencia,power
213,Desarrollador .NET,6,tech,c# avanzado,virtual,pl sql (oracle),configuración de iis,webservices (soap –,código fuente c#
214,Diseñador Industrial,8,design,trabajo,"[""a""]",experiencia,diseño,recursos humanos,recursos
215,Cali - Soporte En Sitio,6,tech,solucionar,in_house,inventarios,sistemas,servicios,redes
216,¿Cómo podríamos reinventar el sistema de indicadores de personal para que fuera más certero y amable con el empleado?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
217,Coordinador/a De Sistemas,13,product,bases,in_house,experiencia,internet,soporte,inventarios
219,ANALISTA DE SOPORTE NIVEL 1 MESA DE SERVICIO SAP|C,6,tech,sap,in_house,parametrización mm,oracle,empresarial,redes
220,Operador de servicio al cliente para sala de cine Armenia,17,consumer,servicio,"[""a""]",cine,experiencia,equipo,servicio al cliente
221,¿Cómo podríamos facilitar la firma de contratos con los proveedores o clientes para agilizar procesos?,5,legal,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
222,AUXILIAR ADMINISTRATIVO OPERACIONES,7,communications,cadena,in_house,herramientas,procesos,persona,manejo
223,¿Cómo podríamos implementar los códigos QR o la comunicación de campo cercano (NFC) para darle valor agregado a los servicios/productos de la organización?,17,consumer,rpa/chatbots,to_be_agreed,relaciones,bases,postgressql,modelos
224,auxiliar administrativo/a - area asistencial,16,finance,experiencia,in_house,procesos,administrativo,procesos administrativos,auxiliar
225,AUXILIAR DE OPERACIONES,13,product,plataformas,in_house,costos,herramientas,historia,persona
226,"Industria Colombiana de Café S.A.S - ¿Cómo promover el crecimiento de la categoría de café y marcas en el consumo fuera del hogar en Colombia, para maximizar las ventas y valorizar las bebidas?",9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
227,¿Cómo podríamos ingeniar una forma de aprovechar los tiempos muertos en el trabajo de una forma productiva y divertida?,9,talent,mantenimiento,to_be_agreed,bases,excel,consulta,financiera
228,Auxiliar comercial o administrativa empresa de alimentos ubicada en FONTIBON.,19,sales,empresa,virtual,comercio,comercial,negocios,experiencia
229,202310 - ASESOR/A EMPRESARIO/A,6,tech,comercial,in_house,proyecto,mercado,creatividad,bienestar
230,Programador de software en Ruby on rails,6,tech,linux,virtual,aws,ruby,rails,web
231,Analista de soporte de aplicaciones,6,tech,soporte,virtual,datos,manejo,bases,sistemas
233,Aux Soporte Técnico,13,product,mantenimiento,in_house,empresa,sistemas,experiencia,python
234,Auxiliar de contratos Experiencia minima de 1 año,9,talent,talento,virtual,social,empresarial,experiencia,administrativo
235,¿Cómo podríamos crear un modelo predictivo para determinar la vida útil de un producto o servicio?,6,tech,auxiliar,to_be_agreed,azure,mejoramiento continuo,programación,azure
237,Head of UX (Colombia) (Remote),7,communications,decisiones,"[""a""]",equipo,profesional,web,experiencia
